Role: **Principal co-architect specializing in distributed systems, metadata catalogs, and high-integrity schema registries.**
Core evaluation focus: **I am evaluating whether the Application Builder forms a deterministic, immutable, tenant-safe, idempotent, observable, and scalable control/data plane across validation, compilation, CAS persistence, BCR publication, and asynchronous execution.**

| Qualified File Name                                                                                                                                       | Identified Gap                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Architectural Fix / Design                                                                                                                                                                                                                                                                                                                                          | Severity     |
| --------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------ |
| `src/meta_application_builder/persistence/models/registry.py`                                                                                             | The registry model is described as holding canonical blueprint specifications, but the exposed model evidence does not establish immutable published revisions, immutable content snapshots, compatibility metadata, or a parent/base revision relationship. The generic `updated_at` pattern in `TenantAwareMixin` also permits mutation semantics.                                                                                                                                | Make registry publication append-only. Introduce immutable `revision_id`, `schema_version`, `content_digest`, `published_at`, `published_by`, `parent_revision_id`, and compatibility classification. Updates should create a new revision rather than mutate an ACTIVE/PUBLISHED row. Enforce this at the database level, not only through Python lifecycle logic. | **Critical** |
| `src/meta_application_builder/bcr_cas/urn_resolver/urn_parser.py`                                                                                         | URNs enforce SemVer-shaped syntax but do not themselves establish semantic compatibility rules between versions. A syntactically valid `2.0.0` can therefore enter the system without proof that breaking-change policy was respected.                                                                                                                                                                                                                                              | Add a compatibility engine that compares normalized schemas/manifests and classifies changes as backward-compatible, forward-compatible, or breaking. Require migration metadata for breaking revisions and reject publication when the declared SemVer does not match the computed compatibility result.                                                           | **High**     |
| `src/meta_application_builder/spec_governance/schemas/det_schema.py`                                                                                      | Immutability tiers exist, including `FINAL`, but the evidence does not show that those semantic immutability guarantees are enforced against an already-published registry revision. Validation-time immutability is insufficient if persistence permits later mutation.                                                                                                                                                                                                            | Treat immutability as a persistence invariant. Materialize inherited/effective schema into the published artifact, record its digest, and prohibit modifications to FINAL/published fields. Require a new revision for any change.                                                                                                                                  | **High**     |
| `src/meta_application_builder/spec_governance/phase_b_topology/networkx_dag.py`                                                                           | Dependency validation detects cycles, but the topology layer receives an in-memory `Dict[str, List[str]]`; the shown design does not establish that dependency references are resolved atomically against a consistent registry snapshot. A build can validate one dependency graph and publish against another.                                                                                                                                                                    | Resolve dependencies against a registry snapshot/version vector. Persist the resolved dependency manifest alongside the build and publish it atomically. Reject publication if any dependency revision changed between validation and commit.                                                                                                                       | **Critical** |
| `src/meta_application_builder/bcr_cas/bulk_api/publication_saga.py`                                                                                       | `SagaOrchestrator` stores reservations in process-local memory. A restart loses all reservations, multiple application instances have independent reservation maps, and TTL eviction can race with commit. This is not a durable publication saga.                                                                                                                                                                                                                                  | Persist saga state in the database with durable states (`RESERVED`, `COMMITTING`, `COMMITTED`, `ROLLED_BACK`, `EXPIRED`), unique saga IDs, lease/version fencing, and transactional outbox integration. Commit must be safe after process restart and retriable.                                                                                                    | **Critical** |
| `src/meta_application_builder/bcr_cas/bulk_api/publication_saga.py`                                                                                       | `reserve_batch()` checks `saga_id` and then inserts into a Python dictionary without synchronization. Concurrent workers can pass the existence check before either writes.                                                                                                                                                                                                                                                                                                         | Use a database unique constraint on `saga_id` and transactional reservation acquisition. Add optimistic/pessimistic locking or fencing for transitions. Never rely on an in-memory check-then-write sequence for distributed coordination.                                                                                                                          | **High**     |
| `src/meta_application_builder/experience/api_gateway/submit_endpoint.py`                                                                                  | The API requires an idempotency key but does not actually use it to deduplicate submissions: every request generates a fresh UUID. The persistence model contains a tenant-scoped unique idempotency key, but the endpoint shown does not consult it.                                                                                                                                                                                                                               | Implement `INSERT ... ON CONFLICT`/equivalent transactional idempotency handling. Persist request fingerprint + response + job ID. Reuse the original result for retries and return `409` for the same key with a materially different payload.                                                                                                                     | **Critical** |
| `src/meta_application_builder/experience/api_gateway/status_endpoint.py`                                                                                  | `/cancel/{job_id}` returns `CANCELLED` without changing durable job state or performing compare-and-set against the current state. A concurrent worker can continue processing and later overwrite cancellation.                                                                                                                                                                                                                                                                    | Implement cancellation as a durable state transition with `WHERE state IN (...) AND version_id = expected_version`, worker cancellation tokens, and fencing. Cancellation must be observable by workers before side effects occur.                                                                                                                                  | **Critical** |
| `src/meta_application_builder/orchestration/state_engine/state_machine.py`                                                                                | The state machine validates legal transitions in memory but does not persist/compare the state transition atomically. `BuildState` therefore describes policy but does not prevent two workers from both transitioning the same job.                                                                                                                                                                                                                                                | Couple every transition to durable CAS/version checks: `UPDATE ... SET state=?, version_id=version_id+1 WHERE job_id=? AND version_id=? AND state=?`. Treat failed row count as a fencing conflict.                                                                                                                                                                 | **High**     |
